Row,Sample Name,Transaction Id,Anon Student Id,Session Id,Time,Time Zone,Student Response Type,Student Response Subtype,Tutor Response Type,Tutor Response Subtype,Level (Lesson),Level (Level2),Problem Name,Problem View,Problem Start Time,Step Name,Attempt At Step,Is Last Attempt,Outcome,Selection,Action,Input,Rater 1: Obviously AI-generated Response (yes=1; no= 0),Rater 2: Obviously AI-generated Response (yes=1; no= 0),Source of Truth: Obviously AI-generated,"Rater 1: Authentic, Real Person Response (yes=1; no=0)","Rater 2: Authentic, Real Person Response (yes=1; no=0)","Source of Truth: Authentic, Real Person",Duration (sec),Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC (Single-KC),KC Category (Single-KC),KC (Unique-step),KC Category (Unique-step),School,Class,CF (AI_Evaluation),CF (AI_Rephrased_Response),CF (AI_Request_Counter),CF (AiEnabled),CF (Condition),CF (Counterbalanced),CF (Sequence),CF (tool_event_time),CF (tutor_event_time),Event Type
35,All Data,d2641eb584d67e3a09f5adfbc9c464b9,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,8/7/24 21:05,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1,8/7/24 21:02,1 open response,3,1,,1,open response,"One way to motivate students to complete their math work is to make it relevant to their lives. For example, you could show students how math is used in everyday life, such as in sports. You could also use real-world examples to illustrate math concepts.",0,0,0,1,1,1,73.5,,,,,Single-KC,,KC410,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 21:05:43.502 UTC,2024-08-07 21:05:43.503 UTC,
39,All Data,e938580cb64f86e929d6bfac9f127187,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,8/7/24 21:08,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,8/7/24 21:07,3 open response,2,1,,3,open response,"Positive Reinforcement: Explicitly acknowledges and praises Kevin's achievement, which is crucial for motivation. Creates a positive association between completing math work and positive feedback.  Builds Relationship: It opens a space for a casual conversation about a topic Kevin enjoys. Strengthens the teacher-student bond, fostering a more positive learning environment.",1,1,1,0,0,0,36,,,,,Single-KC,,KC175,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 21:08:16.076 UTC,2024-08-07 21:08:16.077 UTC,
52,All Data,ed7aed67cb9cc3b017f311ee650d0c78,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,8/7/24 21:16,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,8/7/24 21:16,9 open response,1,1,,9,open response,"Carla, have you ever wondered how designers use math to create perfect patterns or calculate fabric needed for a scarf? Math is like the secret ingredient to bringing your fashion ideas to life. Let's explore how we can use numbers to enhance your designs.",0,0,0.5,0,1,0,0,,,,,Single-KC,,KC537,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 21:16:04.021 UTC,2024-08-07 21:16:04.022 UTC,
55,All Data,d9c1996b89480729914c12a6b496503a,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,8/7/24 21:18,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,8/7/24 21:17,11 open response,2,1,,11,open response,"Builds a Collaborative Relationship: Offers support and partnership, making Carla feel less alone in the task. Creates a positive and encouraging learning environment. Provides Positive Reinforcement: Expresses confidence in Carla's ability, boosting her self-belief. Creates a supportive atmosphere where mistakes are seen as learning opportunities.",1,1,1,0,0,0,20,,,,,Single-KC,,KC421,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-07 21:18:07.005 UTC,2024-08-07 21:18:07.006 UTC,
327,All Data,1465bba28a4c0c4a66d723a4e8f5b515,Stu_00b5f036f5c4a9d12d0431b66b449927,ctat_session_f4cc9999-fb2c-4753-7b4c-29ae2e3c83b5,4/29/24 11:51,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,1. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,1,4/29/24 11:51,1 open response,1,1,,1,open response,"Carla, think of math as another canvas for your creativity, just like designing scarves. Each problem is a puzzle waiting to be solved, and every solution is a masterpiece of logic and ingenuity. Imagine the satisfaction of mastering these challenges, just like the joy you feel when you finish a stunning scarf. Embrace the process, knowing that every mistake is a chance to learn and grow. With your passion for fashion guiding you, let's tackle these math problems together, weaving a path to success that's uniquely yours. You've got this!",1,1,1,0,0,0,0,,,,,Single-KC,,KC434,,PLUS Tutoring,PLUS Lessons,,,,,Open-response only,"Scenario Carla, Scenario  Kevin",,2024-04-29 11:51:20.514 UTC,2024-04-29 11:51:20.516 UTC,
329,All Data,199b5cbff1604c7f3d97c1361862ee4f,Stu_00b5f036f5c4a9d12d0431b66b449927,ctat_session_f4cc9999-fb2c-4753-7b4c-29ae2e3c83b5,4/29/24 11:51,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Carla,2. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1,4/29/24 11:51,2 open response,1,1,,2,open response,"The approach selected in question 11 aims to align Carla's interest in fashion with her math struggles to boost her motivation and engagement. By drawing parallels between designing scarves and solving math problems, it helps Carla see math as another creative endeavor, making it more relatable and less intimidating. This approach validates her existing skills and interests, instilling confidence that she can excel in math just as she does in fashion. Additionally, by emphasizing the satisfaction of overcoming challenges and the potential for future opportunities, it encourages Carla to persist despite difficulties. Overall, this approach leverages Carla's passions to reframe her mindset towards math, fostering a positive attitude and increased motivation to learn.",1,1,1,0,0,0,0,,,,,Single-KC,,KC1111,,PLUS Tutoring,PLUS Lessons,,,,,Open-response only,"Scenario Carla, Scenario  Kevin",,2024-04-29 11:51:45.590 UTC,2024-04-29 11:51:45.591 UTC,
336,All Data,517636b8a306bfe99b3bf9170836fb00,Stu_00b5f036f5c4a9d12d0431b66b449927,ctat_session_f4cc9999-fb2c-4753-7b4c-29ae2e3c83b5,4/29/24 11:55,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Shivang,"6. You are tutoring a student, Shivang, who often struggles to learn math. You encourage him by setting short term goals and breaking down problems. You praise him for working hard, even if he doesn't always get the problems correct. Shivang finds himself",1,4/29/24 11:55,6 open response,1,1,,6,open response,"This scenario demonstrates a combination of intrinsic and extrinsic motivation. Shivang's intrinsic motivation is evident in his increased effort and determination, driven by his desire to achieve the short-term goals set by his tutor and to experience the intrinsic satisfaction of making progress. The extrinsic motivation comes from the praise and encouragement provided by the tutor, which serves as external reinforcement for Shivang's efforts, further motivating him to persevere despite challenges. Together, this blend of intrinsic and extrinsic motivation creates a supportive environment that fosters both personal growth and academic progress.",1,1,,,,,0,,,,,Single-KC,,KC390,,PLUS Tutoring,PLUS Lessons,,,,,Open-response only,"Scenario Carla, Scenario  Kevin",,2024-04-29 11:55:22.625 UTC,2024-04-29 11:55:22.626 UTC,
340,All Data,55100154b4e02beb998d8cd9506e2d06,Stu_00b5f036f5c4a9d12d0431b66b449927,ctat_session_f4cc9999-fb2c-4753-7b4c-29ae2e3c83b5,4/29/24 11:57,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,9. Why do you think the approach you selected in Question 8 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1,4/29/24 11:57,9 open response,1,1,,9,open response,"The approach in Question 8 leverages Kevin's love of baseball to reinforce his positive behavior in math. By connecting his achievement in completing math lessons with a reward related to his passion for sports, it creates a direct link between effort and enjoyment. This strategy capitalizes on Kevin's intrinsic motivation by associating math success with something he finds inherently rewarding. It also fosters a sense of accomplishment and anticipation, motivating Kevin to continue engaging with math in pursuit of future rewards tied to his interests. Ultimately, it reinforces the idea that hard work pays off and encourages ongoing effort and participation.",1,1,1,0,0,0,0,,,,,Single-KC,,KC1272,,PLUS Tutoring,PLUS Lessons,,,,,Open-response only,"Scenario Carla, Scenario  Kevin",,2024-04-29 11:57:27.653 UTC,2024-04-29 11:57:27.654 UTC,
476,All Data,aeebbab33db89234b0b23d70f62d3355,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,8/12/24 14:40,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,2,8/12/24 14:40,1 open response,1,1,,1,open response,Hey Kevin! Great job on completing your math lessons this week! Your hard work is really paying off. Let's celebrate your success by talking about your baseball season. How's it going? Maybe we can even find some ways to use your baseball stats to practice more math!,1,0,1,0,0,0,0,,,,,Single-KC,,KC410,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-12 14:40:49.287 UTC,2024-08-12 14:40:49.288 UTC,
479,All Data,ce378dedf67edff792ce85f73e3e5897,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,8/12/24 14:42,UTC,ATTEMPT,,RESULT,,Using Motivational Strategies,Scenario_Kevin,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,2,8/12/24 14:42,3 open response,1,1,,3,open response,"The approach selected will best support Kevin because it directly ties his hard work in math to a topic he loves, baseball. This positive reinforcement shows him that his efforts in math are valued and rewarded, which can make learning math more enjoyable and motivating. It also creates a connection between his interests and academic work, potentially making math more relevant to him.",0,0,0.5,0,0,0,0,,,,,Single-KC,,KC175,,E-Learning Course,PLUS Lessons,,,,,Mixed,"Scenario Kevin, Scenario  Carla",,2024-08-12 14:42:34.469 UTC,2024-08-12 14:42:34.469 UTC,
