transaction_id,student_id,session_id,problem_name,post_test_score,corresponding_question,used_ai_on_corresponding_item
63f3fe63ea4be009eb9e14260184770b,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,2. Which of the following strategies below do you think would best support and increase Kevin's motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball? <br>I would text the student:,1,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,0.0
0e1cd0ed0d8ba6d033c2238100714705,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,4. Which of the following statements aligns with the rationale you chose and explained in Questions 2 and 3?,1,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,1.0
1014829fb944ce01c554a26ca1aaf8d3,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,10. Which of the following strategies below do you think would best support and increase Carla's motivation to complete her math work and increase engagement? I would tell Carla:,1,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,0.5
e69447bf0fef088fd6ab9fe694611aeb,Stu_003e8f3cf4fd2af060aae025ded87e3b,ctat_session_d87b8a9a-4f7d-3a04-f65a-00e04d849336,12. Which of the following statements aligns best with the rationale you chose and explained in Questions 10 and 11?,1,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,1.0
2f005b9fadde204c2dcb3d9968996205,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,2. Which of the following strategies below do you think would best support and increase Kevin's motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball? <br>I would text the student:,1,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,1.0
b16b8a6695289f703fff5cb80602db70,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,4. Which of the following statements aligns with the rationale you chose and explained in Questions 2 and 3?,1,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,0.5
f10fc47b1c6e80af9be4937a152d37e4,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,10. Which of the following strategies below do you think would best support and increase Carla's motivation to complete her math work and increase engagement? I would tell Carla:,1,9. What exactly would you tell Carla to increase her motivation to learn math and increase her engagement?,0.5
fde9956d2325e7b739446abfaff85dcb,Stu_00faa7f41204ef59d224b4a57856a878,ctat_session_c9018d33-437c-c690-3744-d23249627ec4,12. Which of the following statements aligns best with the rationale you chose and explained in Questions 10 and 11?,1,11. Why do you think the approach you selected in Question 11 will best support and increase Carla's motivation to complete her math work and increase engagement?,0.5
19900c6e9a76c7b1872047ffd9a6e990,Stu_013812275010b765048828d0be3eaf55,ctat_session_15bc09b6-9f3a-31d4-4133-b767684c645a,4. Which of the following statements aligns with the rationale you chose and explained in Questions 2 and 3?,0,3. Why do you think the approach you selected in Question 2 will best support and increase Kevin's motivation to complete his math work and increase engagement?,0.0
d1af16f8dced0bc47f32ac43b1695e0b,Stu_013812275010b765048828d0be3eaf55,ctat_session_15bc09b6-9f3a-31d4-4133-b767684c645a,2. Which of the following strategies below do you think would best support and increase Kevin's motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball? <br>I would text the student:,1,1. What exactly would you text to Kevin to increase his motivation to complete his math work and increase engagement by leveraging his love of sports and playing baseball?,0.0
